                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.76007,                 1.2797,                 1.1662,                 0.8693,                0.41667,                0.70074,                0.40528,                 1.8013,                 1.7877,                 1.5045,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.83555,                 1.2275,                 1.1931,                 0.8693,                0.41667,                0.70074,                0.40528,                 1.8013,                 1.7877,                 1.5045,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.1746,                 2.1671,                 1.5937,                 0.8693,                0.41667,                0.70074,                0.40528,                 1.8013,                 1.7877,                 1.5045,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.73917,                 1.1368,                 1.2075,                0.87053,                0.41667,                0.69903,                0.45658,                 1.8252,                 1.8023,                 1.5133,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.0115,                 0.9297,                 1.4651,                0.87053,                0.41667,                0.69903,                0.45658,                 1.8252,                 1.8023,                 1.5133,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                0.99338,                  1.405,                 1.3565,                0.87053,                0.41667,                0.69903,                0.45658,                 1.8252,                 1.8023,                 1.5133,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 0.6888,                 0.7338,                 1.1812,                0.87361,                0.41667,                0.62035,                0.38398,                 1.8518,                 1.8631,                 1.5357,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 0.7559,                 1.1427,                 1.1227,                0.87361,                0.41667,                0.62035,                0.38398,                 1.8518,                 1.8631,                 1.5357,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.80913,                0.83948,                 1.3232,                0.87361,                0.41667,                0.62035,                0.38398,                 1.8518,                 1.8631,                 1.5357,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                0.78452,                0.69221,                 1.1927,                 0.8724,                0.41667,                0.61854,                0.36741,                 1.8595,                 1.8989,                 1.5513,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 0.8212,                 1.0114,                 1.3009,                 0.8724,                0.41667,                0.61854,                0.36741,                 1.8595,                 1.8989,                 1.5513,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.74087,                0.76025,                 1.1689,                 0.8724,                0.41667,                0.61854,                0.36741,                 1.8595,                 1.8989,                 1.5513,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.85933,                 1.3065,                  1.194,                0.87276,                0.41667,                0.61882,                0.36595,                 1.8646,                 1.9443,                 1.5594,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.70663,                 1.0743,                 1.1827,                0.87276,                0.41667,                0.61882,                0.36595,                 1.8646,                 1.9443,                 1.5594,             2.1144e-05,             2.1144e-05,             2.1144e-05
